strain	gene	Orthogroup	class
CB4856	g2613	OG0005338	core
CB4856	g2694	OG0003645	core
CB4856	g2695	OG0005360	core
CB4856	g2696	OG0015849	accessory
CB4856	g2697	OG0003647	core
CB4856	g2698	OG0003646	core
CB4856	g2699	OG0003417	core
CB4856	g2700	OG0005361	core
CB4856	g2705	OG0001079	core
CB4856	g2706	OG0000582	core
CB4856	g2707	OG0005362	core
CB4856	g2718	OG0000859	core
CB4856	g2719	OG0005365	core
CB4856	g2720	OG0005366	core
CB4856	g2721	OG0005367	core
CB4856	g2722	OG0005368	core
CB4856	g2723	OG0005369	core
CB4856	g2729	OG0005375	core
CB4856	g2730	OG0018224	accessory
CB4856	g2731	OG0018394	accessory
CB4856	g2732	OG0020156	accessory
CB4856	g2733	OG0000101	accessory
CB4856	g2734	OG0005376	core
CB4856	g2735	OG0005377	core
CB4856	g2736	OG0015667	accessory
CB4856	g2737	OG0005378	core
CB4856	g2738	OG0003383	core
CB4856	g2739	OG0003343	core
CB4856	g2745	OG0001020	core
CB4856	g2746	OG0003319	core
CB4856	g2747	OG0001579	core
CB4856	g2748	OG0015662	accessory
CB4856	g2749	OG0001517	core
CB4856	g2750	OG0000617	core
CB4856	g2751	OG0001015	core
CB4856	g2752	OG0019183	accessory
CB4856	g3053	OG0005500	core
CB4856	g3054	OG0005501	core
CB4856	g3055	OG0005502	core
CB4856	g3340	OG0000304	core
CB4856	g3341	OG0005663	core
CB4856	g3342	OG0005664	core
CB4856	g3343	OG0003635	core
CB4856	g3576	OG0000561	core
CB4856	g3577	OG0000724	core
CB4856	g3578	OG0001171	core
CB4856	g3579	OG0000872	core
CB4856	g3580	OG0017255	accessory
CB4856	g3581	OG0016880	accessory
CB4856	g3582	OG0004090	core
CB4856	g3583	OG0023862	accessory
CB4856	g3584	OG0036937	accessory
CB4856	g3585	OG0001615	core
CB4856	g3586	OG0005798	core
CB4856	g3587	OG0028733	accessory
CB4856	g3588	OG0028962	accessory
CB4856	g3589	OG0028963	accessory
CB4856	g3590	OG0029629	accessory
CB4856	g3591	OG0005799	core
CB4856	g3592	OG0017578	accessory
CB4856	g3593	OG0005800	core
CB4856	g3594	OG0005801	core
CB4856	g3595	OG0015612	accessory
CB4856	g3596	OG0005802	core
CB4856	g3597	OG0005803	core
CB4856	g3598	OG0022125	accessory
CB4856	g3599	OG0003671	core
CB4856	g3600	OG0022777	accessory
CB4856	g3601	OG0003125	core
CB4856	g3696	OG0005829	core
CB4856	g3697	OG0005830	core
CB4856	g3698	OG0020999	accessory
CB4856	g3699	OG0005831	core
CB4856	g3700	OG0027693	accessory
CB4856	g3701	OG0002481	core
CB4856	g3702	OG0018929	accessory
CB4856	g3703	OG0016795	accessory
CB4856	g3704	OG0020875	accessory
CB4856	g3705	OG0005832	core
CB4856	g3706	OG0000441	accessory
CB4856	g3707	OG0005833	core
CB4856	g3708	OG0023464	accessory
CB4856	g3709	OG0005834	core
CB4856	g3710	OG0005835	core
CB4856	g3711	OG0005836	core
CB4856	g3712	OG0003215	core
CB4856	g3713	OG0005837	core
CB4856	g3714	OG0015634	accessory
CB4856	g3715	OG0003214	core
CB4856	g3716	OG0023101	accessory
CB4856	g3717	OG0003453	core
CB4856	g3718	OG0000197	core
CB4856	g3719	OG0017579	accessory
CB4856	g3720	OG0019129	accessory
CB4856	g3721	OG0024112	accessory
CB4856	g3722	OG0001172	core
CB4856	g3723	OG0005838	core
CB4856	g5002	OG0006650	core
CB4856	g5003	OG0024175	accessory
CB4856	g5004	OG0025645	accessory
CB4856	g5005	OG0027434	accessory
CB4856	g5006	OG0000911	core
CB4856	g5007	OG0000276	core
CB4856	g5008	OG0000355	core
CB4856	g5009	OG0025793	accessory
CB4856	g5010	OG0000276	core
CB4856	g5011	OG0000355	core
CB4856	g5012	OG0006651	core
CB4856	g5013	OG0006652	core
CB4856	g5825	OG0042539	private
CB4856	g5827	OG0001314	core
CB4856	g5828	OG0007086	core
CB4856	g5850	OG0007094	core
CB4856	g5851	OG0007095	core
CB4856	g5852	OG0020859	accessory
CB4856	g5955	OG0018364	accessory
CB4856	g5956	OG0017337	accessory
CB4856	g5957	OG0017259	accessory
CB4856	g5958	OG0020119	accessory
CB4856	g5959	OG0020120	accessory
CB4856	g5960	OG0023184	accessory
CB4856	g5961	OG0019978	accessory
CB4856	g5962	OG0002547	core
CB4856	g5964	OG0003273	accessory
CB4856	g5965	OG0001560	accessory
CB4856	g5966	OG0024900	accessory
CB4856	g5967	OG0047564	private
CB4856	g5968	OG0022102	accessory
CB4856	g5969	OG0023479	accessory
CB4856	g5970	OG0018457	accessory
CB4856	g5971	OG0018487	accessory
CB4856	g5972	OG0022269	accessory
CB4856	g5973	OG0016686	accessory
CB4856	g5974	OG0000846	core
CB4856	g5981	OG0007126	core
CB4856	g5982	OG0021437	accessory
CB4856	g5983	OG0015870	accessory
CB4856	g5984	OG0000744	core
CB4856	g5985	OG0004102	accessory
CB4856	g5986	OG0001949	core
CB4856	g5987	OG0001192	core
CB4856	g5988	OG0001420	core
CB4856	g5989	OG0020447	accessory
CB4856	g5990	OG0020447	accessory
CB4856	g5991	OG0023512	accessory
CB4856	g5992	OG0022883	accessory
CB4856	g5993	OG0023782	accessory
CB4856	g5994	OG0023893	accessory
CB4856	g5995	OG0022708	accessory
CB4856	g5996	OG0023451	accessory
CB4856	g5997	OG0017599	accessory
CB4856	g5998	OG0020472	accessory
CB4856	g5999	OG0016998	accessory
CB4856	g6000	OG0003412	core
CB4856	g6001	OG0007127	core
CB4856	g6033	OG0001712	accessory
CB4856	g6034	OG0016687	accessory
CB4856	g6035	OG0000318	accessory
CB4856	g6036	OG0000318	accessory
CB4856	g6037	OG0000241	accessory
CB4856	g6038	OG0000241	accessory
CB4856	g6039	OG0000318	accessory
CB4856	g6040	OG0000318	accessory
CB4856	g6041	OG0016687	accessory
CB4856	g6042	OG0001712	accessory
CB4856	g6043	OG0017150	accessory
CB4856	g6044	OG0017150	accessory
CB4856	g6062	OG0007133	core
CB4856	g6063	OG0031808	accessory
CB4856	g6064	OG0022179	accessory
CB4856	g6065	OG0003509	core
CB4856	g6066	OG0003456	core
CB4856	g6067	OG0018861	accessory
CB4856	g6068	OG0022864	accessory
CB4856	g6069	OG0019262	accessory
CB4856	g6070	OG0000217	accessory
CB4856	g6071	OG0007134	core
CB4856	g6072	OG0007135	core
CB4856	g6073	OG0007136	core
CB4856	g6074	OG0003144	core
CB4856	g6075	OG0022893	accessory
CB4856	g6076	OG0001951	core
CB4856	g6077	OG0001952	core
CB4856	g6078	OG0020845	accessory
CB4856	g6079	OG0001953	core
CB4856	g6080	OG0017810	accessory
CB4856	g6081	OG0020173	accessory
CB4856	g6082	OG0020231	accessory
CB4856	g6083	OG0019953	accessory
CB4856	g6084	OG0022525	accessory
CB4856	g6085	OG0020713	accessory
CB4856	g6086	OG0020713	accessory
CB4856	g6087	OG0021038	accessory
CB4856	g6088	OG0023698	accessory
CB4856	g6089	OG0021167	accessory
CB4856	g6090	OG0019214	accessory
CB4856	g6091	OG0003260	accessory
CB4856	g6092	OG0001954	core
CB4856	g6093	OG0021270	accessory
CB4856	g6094	OG0022144	accessory
CB4856	g6095	OG0000356	accessory
CB4856	g6096	OG0000356	accessory
CB4856	g6097	OG0017892	accessory
CB4856	g6098	OG0003130	accessory
CB4856	g6099	OG0018452	accessory
CB4856	g6100	OG0051082	private
CB4856	g6101	OG0007137	core
CB4856	g6102	OG0003971	core
CB4856	g6103	OG0016707	accessory
CB4856	g6104	OG0018157	accessory
CB4856	g6105	OG0001043	core
CB4856	g6106	OG0020164	accessory
CB4856	g6107	OG0001044	core
CB4856	g6108	OG0017179	accessory
CB4856	g6109	OG0019382	accessory
CB4856	g6110	OG0003432	core
CB4856	g6111	OG0007138	core
CB4856	g6174	OG0020266	accessory
CB4856	g6175	OG0024567	accessory
CB4856	g6176	OG0023830	accessory
CB4856	g6177	OG0024875	accessory
CB4856	g6201	OG0004022	core
CB4856	g6202	OG0024257	accessory
CB4856	g6203	OG0024257	accessory
CB4856	g6204	OG0022040	accessory
CB4856	g6205	OG0022040	accessory
CB4856	g6206	OG0016660	accessory
CB4856	g6207	OG0017016	accessory
CB4856	g6208	OG0003436	accessory
CB4856	g6209	OG0001608	core
CB4856	g6210	OG0017007	accessory
CB4856	g6211	OG0001713	core
CB4856	g6212	OG0007148	core
CB4856	g6213	OG0007149	core
CB4856	g6214	OG0007150	core
CB4856	g6215	OG0003710	core
CB4856	g6216	OG0018004	accessory
CB4856	g6217	OG0007151	core
CB4856	g6218	OG0017746	accessory
CB4856	g6219	OG0027147	accessory
CB4856	g6220	OG0017417	accessory
CB4856	g6221	OG0019521	accessory
CB4856	g6222	OG0019521	accessory
CB4856	g6223	OG0003194	core
CB4856	g6224	OG0022717	accessory
CB4856	g6225	OG0019703	accessory
CB4856	g6230	OG0019289	accessory
CB4856	g6231	OG0025504	accessory
CB4856	g6232	OG0020479	accessory
CB4856	g6233	OG0000370	core
CB4856	g6234	OG0007153	core
CB4856	g6235	OG0000729	core
CB4856	g6282	OG0018035	accessory
CB4856	g6283	OG0019159	accessory
CB4856	g6284	OG0019466	accessory
CB4856	g6285	OG0001960	accessory
CB4856	g6286	OG0018783	accessory
CB4856	g6287	OG0015618	accessory
CB4856	g6288	OG0018922	accessory
CB4856	g6289	OG0017176	accessory
CB4856	g6290	OG0015871	accessory
CB4856	g6291	OG0020391	accessory
CB4856	g6292	OG0019375	accessory
CB4856	g6293	OG0021440	accessory
CB4856	g6294	OG0018238	accessory
CB4856	g6295	OG0023338	accessory
CB4856	g6296	OG0021433	accessory
CB4856	g6297	OG0021919	accessory
CB4856	g6298	OG0036712	accessory
CB4856	g6299	OG0021647	accessory
CB4856	g6300	OG0033632	accessory
CB4856	g6301	OG0021072	accessory
CB4856	g6302	OG0000875	core
CB4856	g6303	OG0021727	accessory
CB4856	g6304	OG0021727	accessory
CB4856	g6305	OG0000730	accessory
CB4856	g6306	OG0020323	accessory
CB4856	g6307	OG0020449	accessory
CB4856	g6308	OG0020481	accessory
CB4856	g6309	OG0021988	accessory
CB4856	g6310	OG0021776	accessory
CB4856	g6311	OG0022672	accessory
CB4856	g6312	OG0007163	core
CB4856	g6313	OG0018003	accessory
CB4856	g6314	OG0021523	accessory
CB4856	g6315	OG0003217	core
CB4856	g6316	OG0019777	accessory
CB4856	g6317	OG0017484	accessory
CB4856	g6318	OG0002551	core
CB4856	g6319	OG0017081	accessory
CB4856	g6320	OG0003732	core
CB4856	g6321	OG0007164	core
CB4856	g6322	OG0003177	core
CB4856	g6346	OG0007171	core
CB4856	g6347	OG0001961	core
CB4856	g6348	OG0017275	accessory
CB4856	g6349	OG0019485	accessory
CB4856	g6350	OG0020163	accessory
CB4856	g6376	OG0028664	accessory
CB4856	g6377	OG0030635	accessory
CB4856	g6378	OG0017706	accessory
CB4856	g6510	OG0001967	core
CB4856	g6511	OG0001968	core
CB4856	g6512	OG0002554	core
CB4856	g6513	OG0018432	accessory
CB4856	g6514	OG0007213	core
CB4856	g6515	OG0022201	accessory
CB4856	g6516	OG0022750	accessory
CB4856	g6517	OG0007214	core
CB4856	g6518	OG0007215	core
CB4856	g6519	OG0022123	accessory
CB4856	g6520	OG0007216	core
CB4856	g6521	OG0016695	accessory
CB4856	g6522	OG0003935	core
CB4856	g6523	OG0007217	core
CB4856	g6524	OG0007218	core
CB4856	g6525	OG0015873	accessory
CB4856	g6526	OG0021856	accessory
CB4856	g6527	OG0007219	core
CB4856	g6528	OG0007220	core
CB4856	g6529	OG0007221	core
CB4856	g6530	OG0017356	accessory
CB4856	g6531	OG0007222	core
CB4856	g6532	OG0007223	core
CB4856	g6533	OG0007224	core
CB4856	g6534	OG0003735	core
CB4856	g6550	OG0007230	core
CB4856	g6551	OG0001971	core
CB4856	g6552	OG0000851	core
CB4856	g6553	OG0007231	core
CB4856	g6554	OG0018850	accessory
CB4856	g6555	OG0026379	accessory
CB4856	g6556	OG0017699	accessory
CB4856	g6557	OG0018246	accessory
CB4856	g6558	OG0024072	accessory
CB4856	g6601	OG0027664	accessory
CB4856	g6602	OG0017700	accessory
CB4856	g6603	OG0018340	accessory
CB4856	g6604	OG0031453	accessory
CB4856	g6605	OG0018340	accessory
CB4856	g6606	OG0025572	accessory
CB4856	g6607	OG0028379	accessory
CB4856	g6608	OG0028379	accessory
CB4856	g6609	OG0029832	accessory
CB4856	g6610	OG0019951	accessory
CB4856	g6611	OG0000257	accessory
CB4856	g6612	OG0022477	accessory
CB4856	g6613	OG0000668	core
CB4856	g6614	OG0022852	accessory
CB4856	g6615	OG0001668	core
CB4856	g6616	OG0018062	accessory
CB4856	g6621	OG0018294	accessory
CB4856	g6622	OG0023618	accessory
CB4856	g6623	OG0024705	accessory
CB4856	g6624	OG0022030	accessory
CB4856	g6625	OG0022030	accessory
CB4856	g6626	OG0031951	accessory
CB4856	g6627	OG0024117	accessory
CB4856	g6628	OG0007240	core
CB4856	g6629	OG0007241	core
CB4856	g6641	OG0019203	accessory
CB4856	g6642	OG0018058	accessory
CB4856	g6643	OG0018040	accessory
CB4856	g6644	OG0025301	accessory
CB4856	g6685	OG0007256	core
CB4856	g6686	OG0020638	accessory
CB4856	g6687	OG0017429	accessory
CB4856	g6688	OG0000384	accessory
CB4856	g6689	OG0000233	accessory
CB4856	g6690	OG0029228	accessory
CB4856	g6691	OG0000233	accessory
CB4856	g6756	OG0017228	accessory
CB4856	g6757	OG0007267	core
CB4856	g6758	OG0017861	accessory
CB4856	g6759	OG0016147	accessory
CB4856	g6760	OG0027004	accessory
CB4856	g6761	OG0023963	accessory
CB4856	g6762	OG0020720	accessory
CB4856	g6763	OG0021407	accessory
CB4856	g6764	OG0023544	accessory
CB4856	g6765	OG0022091	accessory
CB4856	g6766	OG0031096	accessory
CB4856	g6767	OG0025875	accessory
CB4856	g6768	OG0020201	accessory
CB4856	g6769	OG0000715	accessory
CB4856	g6770	OG0023562	accessory
CB4856	g6771	OG0030748	accessory
CB4856	g6772	OG0028805	accessory
CB4856	g6773	OG0017960	accessory
CB4856	g6774	OG0017960	accessory
CB4856	g6775	OG0021040	accessory
CB4856	g6776	OG0024187	accessory
CB4856	g6777	OG0053440	private
CB4856	g6778	OG0001195	core
CB4856	g6779	OG0021866	accessory
CB4856	g6782	OG0019316	accessory
CB4856	g6783	OG0019119	accessory
CB4856	g6784	OG0020409	accessory
CB4856	g6785	OG0033435	accessory
CB4856	g6786	OG0000189	accessory
CB4856	g6787	OG0026680	accessory
CB4856	g6880	OG0007296	core
CB4856	g6881	OG0022006	accessory
CB4856	g6920	OG0007302	core
CB4856	g6921	OG0023393	accessory
CB4856	g6922	OG0018558	accessory
CB4856	g6923	OG0024895	accessory
CB4856	g6994	OG0019606	accessory
CB4856	g6995	OG0035581	accessory
CB4856	g6996	OG0025219	accessory
CB4856	g6997	OG0028232	accessory
CB4856	g6998	OG0029355	accessory
CB4856	g6999	OG0022348	accessory
CB4856	g7000	OG0021814	accessory
CB4856	g7001	OG0024982	accessory
CB4856	g7002	OG0031188	accessory
CB4856	g7097	OG0001429	core
CB4856	g7098	OG0016152	accessory
CB4856	g7099	OG0002568	core
CB4856	g7101	OG0000694	accessory
CB4856	g7102	OG0001521	accessory
CB4856	g7103	OG0023267	accessory
CB4856	g7104	OG0027489	accessory
CB4856	g7105	OG0001059	accessory
CB4856	g7106	OG0022325	accessory
CB4856	g7107	OG0000558	core
CB4856	g7160	OG0018535	accessory
CB4856	g7161	OG0000251	accessory
CB4856	g7162	OG0000460	accessory
CB4856	g7163	OG0000711	accessory
CB4856	g7164	OG0000430	accessory
CB4856	g7165	OG0000091	accessory
CB4856	g7166	OG0000091	accessory
CB4856	g7167	OG0019786	accessory
CB4856	g7168	OG0022216	accessory
CB4856	g7169	OG0001057	core
CB4856	g7170	OG0000368	core
CB4856	g7171	OG0000611	accessory
CB4856	g7172	OG0027626	accessory
CB4856	g7173	OG0018359	accessory
CB4856	g7174	OG0003280	accessory
CB4856	g7175	OG0028896	accessory
CB4856	g7176	OG0020162	accessory
CB4856	g7177	OG0023704	accessory
CB4856	g7178	OG0023275	accessory
CB4856	g7179	OG0017569	accessory
CB4856	g7180	OG0019813	accessory
CB4856	g7181	OG0000347	accessory
CB4856	g7182	OG0020369	accessory
CB4856	g7183	OG0019810	accessory
CB4856	g7184	OG0000069	accessory
CB4856	g7185	OG0019114	accessory
CB4856	g7186	OG0000016	accessory
CB4856	g7187	OG0019501	accessory
CB4856	g7188	OG0019133	accessory
CB4856	g7189	OG0019681	accessory
CB4856	g7190	OG0019502	accessory
CB4856	g7191	OG0031843	accessory
CB4856	g7192	OG0018823	accessory
CB4856	g7193	OG0018719	accessory
CB4856	g7194	OG0019070	accessory
CB4856	g7195	OG0019118	accessory
CB4856	g7196	OG0022197	accessory
CB4856	g7197	OG0026454	accessory
CB4856	g7198	OG0019693	accessory
CB4856	g7199	OG0019314	accessory
CB4856	g7200	OG0019954	accessory
CB4856	g7201	OG0025829	accessory
CB4856	g7202	OG0026473	accessory
CB4856	g7203	OG0024971	accessory
CB4856	g7204	OG0025604	accessory
CB4856	g7205	OG0028465	accessory
CB4856	g7206	OG0019743	accessory
CB4856	g7207	OG0019229	accessory
CB4856	g7208	OG0019866	accessory
CB4856	g7209	OG0024140	accessory
CB4856	g7210	OG0024139	accessory
CB4856	g7211	OG0022314	accessory
CB4856	g7212	OG0020170	accessory
CB4856	g7213	OG0034686	accessory
CB4856	g7214	OG0019234	accessory
CB4856	g7215	OG0023062	accessory
CB4856	g7216	OG0022196	accessory
CB4856	g7217	OG0025008	accessory
CB4856	g7218	OG0026250	accessory
CB4856	g7219	OG0026250	accessory
CB4856	g7220	OG0020924	accessory
CB4856	g7221	OG0021027	accessory
CB4856	g7222	OG0025034	accessory
CB4856	g7223	OG0021723	accessory
CB4856	g7224	OG0000266	accessory
CB4856	g7225	OG0000266	accessory
CB4856	g7226	OG0021566	accessory
CB4856	g7227	OG0021512	accessory
CB4856	g7228	OG0022253	accessory
CB4856	g7229	OG0022256	accessory
CB4856	g7230	OG0022184	accessory
CB4856	g7231	OG0020831	accessory
CB4856	g7232	OG0022952	accessory
CB4856	g7233	OG0021281	accessory
CB4856	g7234	OG0022558	accessory
CB4856	g7235	OG0024003	accessory
CB4856	g7236	OG0023550	accessory
CB4856	g7237	OG0023811	accessory
CB4856	g7238	OG0022714	accessory
CB4856	g7239	OG0021017	accessory
CB4856	g7240	OG0000802	accessory
CB4856	g7241	OG0000802	accessory
CB4856	g7242	OG0021547	accessory
CB4856	g7243	OG0020213	accessory
CB4856	g7244	OG0020213	accessory
CB4856	g7245	OG0022526	accessory
CB4856	g7246	OG0022237	accessory
CB4856	g7246	OG0022237	accessory
CB4856	g7247	OG0022093	accessory
CB4856	g7247	OG0022093	accessory
CB4856	g7248	OG0022093	accessory
CB4856	g7248	OG0022093	accessory
CB4856	g7249	OG0024076	accessory
CB4856	g7249	OG0024076	accessory
CB4856	g7250	OG0022482	accessory
CB4856	g7250	OG0022482	accessory
CB4856	g7251	OG0025412	accessory
CB4856	g7251	OG0025412	accessory
CB4856	g7252	OG0020308	accessory
CB4856	g7252	OG0020308	accessory
CB4856	g7253	OG0022628	accessory
CB4856	g7253	OG0022628	accessory
CB4856	g7254	OG0020308	accessory
CB4856	g7254	OG0020308	accessory
CB4856	g7255	OG0022628	accessory
CB4856	g7255	OG0022628	accessory
CB4856	g7256	OG0028167	accessory
CB4856	g7256	OG0028167	accessory
CB4856	g7257	OG0024221	accessory
CB4856	g7257	OG0024221	accessory
CB4856	g7258	OG0024269	accessory
CB4856	g7258	OG0024269	accessory
CB4856	g7259	OG0022658	accessory
CB4856	g7259	OG0022658	accessory
CB4856	g7260	OG0024787	accessory
CB4856	g7260	OG0024787	accessory
CB4856	g7261	OG0024650	accessory
CB4856	g7261	OG0024650	accessory
CB4856	g7262	OG0024941	accessory
CB4856	g7262	OG0024941	accessory
CB4856	g7263	OG0024250	accessory
CB4856	g7263	OG0024250	accessory
CB4856	g7264	OG0024676	accessory
CB4856	g7264	OG0024676	accessory
CB4856	g7265	OG0029226	accessory
CB4856	g7265	OG0029226	accessory
CB4856	g7266	OG0025637	accessory
CB4856	g7266	OG0025637	accessory
CB4856	g7267	OG0019377	accessory
CB4856	g7267	OG0019377	accessory
CB4856	g7268	OG0025061	accessory
CB4856	g7268	OG0025061	accessory
CB4856	g7269	OG0038264	accessory
CB4856	g7269	OG0038264	accessory
CB4856	g7270	OG0018152	accessory
CB4856	g7270	OG0018152	accessory
CB4856	g7271	OG0018237	accessory
CB4856	g7272	OG0018910	accessory
CB4856	g7273	OG0019005	accessory
CB4856	g7274	OG0018591	accessory
CB4856	g7275	OG0000118	accessory
CB4856	g7276	OG0018511	accessory
CB4856	g7276	OG0018511	accessory
CB4856	g7277	OG0026713	accessory
CB4856	g7277	OG0026713	accessory
CB4856	g7278	OG0018420	accessory
CB4856	g7278	OG0018420	accessory
CB4856	g7279	OG0025778	accessory
CB4856	g7279	OG0025778	accessory
CB4856	g7280	OG0019323	accessory
CB4856	g7280	OG0019323	accessory
CB4856	g7281	OG0025650	accessory
CB4856	g7281	OG0025650	accessory
CB4856	g7282	OG0026457	accessory
CB4856	g7282	OG0026457	accessory
CB4856	g7283	OG0018729	accessory
CB4856	g7283	OG0018729	accessory
CB4856	g7284	OG0022063	accessory
CB4856	g7284	OG0022063	accessory
CB4856	g7285	OG0018705	accessory
CB4856	g7285	OG0018705	accessory
CB4856	g7286	OG0020898	accessory
CB4856	g7286	OG0020898	accessory
CB4856	g7287	OG0018954	accessory
CB4856	g7287	OG0018954	accessory
CB4856	g7288	OG0025280	accessory
CB4856	g7288	OG0025280	accessory
CB4856	g7289	OG0024627	accessory
CB4856	g7289	OG0024627	accessory
CB4856	g7290	OG0020770	accessory
CB4856	g7290	OG0020770	accessory
CB4856	g7291	OG0026045	accessory
CB4856	g7292	OG0023990	accessory
CB4856	g7293	OG0020712	accessory
CB4856	g7294	OG0018522	accessory
CB4856	g7295	OG0031719	accessory
CB4856	g7409	OG0007403	core
CB4856	g7410	OG0004110	core
CB4856	g7471	OG0029087	accessory
CB4856	g7472	OG0007419	core
CB4856	g7473	OG0023940	accessory
CB4856	g7474	OG0000422	core
CB4856	g7572	OG0018643	accessory
CB4856	g7573	OG0031233	accessory
CB4856	g7574	OG0001200	core
CB4856	g7575	OG0000487	core
CB4856	g7576	OG0017843	accessory
CB4856	g7577	OG0021509	accessory
CB4856	g7578	OG0020366	accessory
CB4856	g7579	OG0000916	core
CB4856	g7580	OG0000342	accessory
CB4856	g7581	OG0018272	accessory
CB4856	g7582	OG0018645	accessory
CB4856	g7583	OG0021894	accessory
CB4856	g7584	OG0026385	accessory
CB4856	g7585	OG0021811	accessory
CB4856	g7586	OG0023483	accessory
CB4856	g7587	OG0024606	accessory
CB4856	g7588	OG0025182	accessory
CB4856	g7589	OG0026791	accessory
CB4856	g7590	OG0020643	accessory
CB4856	g7591	OG0019690	accessory
CB4856	g7592	OG0026662	accessory
CB4856	g7593	OG0018151	accessory
CB4856	g7594	OG0041120	private
CB4856	g7595	OG0021026	accessory
CB4856	g7596	OG0022319	accessory
CB4856	g7597	OG0044751	private
CB4856	g7598	OG0022984	accessory
CB4856	g7599	OG0022554	accessory
CB4856	g7600	OG0032644	accessory
CB4856	g7601	OG0032388	accessory
CB4856	g7602	OG0000090	accessory
CB4856	g7603	OG0000074	accessory
CB4856	g7604	OG0000090	accessory
CB4856	g7605	OG0000074	accessory
CB4856	g7606	OG0022449	accessory
CB4856	g7607	OG0023508	accessory
CB4856	g7608	OG0025999	accessory
CB4856	g7609	OG0035369	accessory
CB4856	g7610	OG0025609	accessory
CB4856	g7611	OG0019547	accessory
CB4856	g7612	OG0025704	accessory
CB4856	g7613	OG0021295	accessory
CB4856	g7614	OG0051795	private
CB4856	g7615	OG0028658	accessory
CB4856	g7616	OG0037332	accessory
CB4856	g7617	OG0026584	accessory
CB4856	g7618	OG0029433	accessory
CB4856	g7619	OG0023249	accessory
CB4856	g7620	OG0037099	accessory
CB4856	g7621	OG0017006	accessory
CB4856	g7622	OG0023628	accessory
CB4856	g7623	OG0019633	accessory
CB4856	g7624	OG0021915	accessory
CB4856	g7625	OG0028160	accessory
CB4856	g7626	OG0029729	accessory
CB4856	g7627	OG0026933	accessory
CB4856	g7628	OG0020303	accessory
CB4856	g7629	OG0020542	accessory
CB4856	g7630	OG0032429	accessory
