strain	gene	class
CB4856	g6775	accessory
CB4856	g6776	accessory
CB4856	g6777	private
CB4856	g6778	core
CB4856	g6779	accessory
CB4856	g6782	accessory
CB4856	g6783	accessory
CB4856	g6784	accessory
CB4856	g6785	accessory
CB4856	g6786	accessory
CB4856	g6787	accessory
CB4856	g6880	core
CB4856	g6881	accessory
CB4856	g6920	core
CB4856	g6921	accessory
CB4856	g6922	accessory
CB4856	g6923	accessory
CB4856	g6994	accessory
CB4856	g6995	accessory
CB4856	g6996	accessory
CB4856	g6997	accessory
CB4856	g6998	accessory
CB4856	g6999	accessory
CB4856	g7000	accessory
CB4856	g7001	accessory
CB4856	g7002	accessory
CB4856	g7097	core
CB4856	g7098	accessory
CB4856	g7099	core
CB4856	g7101	accessory
CB4856	g7102	accessory
CB4856	g7103	accessory
CB4856	g7104	accessory
CB4856	g7105	accessory
CB4856	g7106	accessory
CB4856	g7107	core
CB4856	g7160	accessory
CB4856	g7161	accessory
CB4856	g7162	accessory
CB4856	g7163	accessory
CB4856	g7164	accessory
CB4856	g7165	accessory
CB4856	g7166	accessory
CB4856	g7167	accessory
CB4856	g7168	accessory
CB4856	g7169	core
CB4856	g7170	core
CB4856	g7171	accessory
CB4856	g7172	accessory
CB4856	g7173	accessory
CB4856	g7174	accessory
CB4856	g7175	accessory
CB4856	g7176	accessory
CB4856	g7177	accessory
CB4856	g7178	accessory
CB4856	g7179	accessory
CB4856	g7180	accessory
CB4856	g7181	accessory
CB4856	g7182	accessory
CB4856	g7183	accessory
CB4856	g7184	accessory
CB4856	g7185	accessory
CB4856	g7186	accessory
CB4856	g7187	accessory
CB4856	g7188	accessory
CB4856	g7189	accessory
CB4856	g7190	accessory
CB4856	g7191	accessory
CB4856	g7192	accessory
CB4856	g7193	accessory
CB4856	g7194	accessory
CB4856	g7195	accessory
CB4856	g7196	accessory
CB4856	g7197	accessory
CB4856	g7198	accessory
CB4856	g7199	accessory
CB4856	g7200	accessory
CB4856	g7201	accessory
CB4856	g7202	accessory
CB4856	g7203	accessory
CB4856	g7204	accessory
CB4856	g7205	accessory
CB4856	g7206	accessory
CB4856	g7207	accessory
CB4856	g7208	accessory
CB4856	g7209	accessory
CB4856	g7210	accessory
CB4856	g7211	accessory
CB4856	g7212	accessory
CB4856	g7213	accessory
CB4856	g7214	accessory
CB4856	g7215	accessory
CB4856	g7216	accessory
CB4856	g7217	accessory
CB4856	g7218	accessory
CB4856	g7219	accessory
CB4856	g7220	accessory
CB4856	g7221	accessory
CB4856	g7222	accessory
CB4856	g7223	accessory
CB4856	g7224	accessory
CB4856	g7225	accessory
CB4856	g7226	accessory
CB4856	g7227	accessory
CB4856	g7228	accessory
CB4856	g7229	accessory
CB4856	g7230	accessory
CB4856	g7231	accessory
CB4856	g7232	accessory
CB4856	g7233	accessory
CB4856	g7234	accessory
CB4856	g7235	accessory
CB4856	g7236	accessory
CB4856	g7237	accessory
CB4856	g7238	accessory
CB4856	g7239	accessory
CB4856	g7240	accessory
CB4856	g7241	accessory
CB4856	g7242	accessory
CB4856	g7243	accessory
CB4856	g7244	accessory
CB4856	g7245	accessory
CB4856	g7246	accessory
CB4856	g7246	accessory
CB4856	g7247	accessory
CB4856	g7247	accessory
CB4856	g7248	accessory
CB4856	g7248	accessory
CB4856	g7249	accessory
CB4856	g7249	accessory
CB4856	g7250	accessory
CB4856	g7250	accessory
CB4856	g7251	accessory
CB4856	g7251	accessory
CB4856	g7252	accessory
CB4856	g7252	accessory
CB4856	g7253	accessory
CB4856	g7253	accessory
CB4856	g7254	accessory
CB4856	g7254	accessory
CB4856	g7255	accessory
CB4856	g7255	accessory
CB4856	g7256	accessory
CB4856	g7256	accessory
CB4856	g7257	accessory
CB4856	g7257	accessory
CB4856	g7258	accessory
CB4856	g7258	accessory
CB4856	g7259	accessory
CB4856	g7259	accessory
CB4856	g7260	accessory
CB4856	g7260	accessory
CB4856	g7261	accessory
CB4856	g7261	accessory
CB4856	g7262	accessory
CB4856	g7262	accessory
CB4856	g7263	accessory
CB4856	g7263	accessory
CB4856	g7264	accessory
CB4856	g7264	accessory
CB4856	g7265	accessory
CB4856	g7265	accessory
CB4856	g7266	accessory
CB4856	g7266	accessory
CB4856	g7267	accessory
CB4856	g7267	accessory
CB4856	g7268	accessory
CB4856	g7268	accessory
CB4856	g7269	accessory
CB4856	g7269	accessory
CB4856	g7270	accessory
CB4856	g7270	accessory
CB4856	g7271	accessory
CB4856	g7272	accessory
CB4856	g7273	accessory
CB4856	g7274	accessory
CB4856	g7275	accessory
CB4856	g7276	accessory
CB4856	g7276	accessory
CB4856	g7277	accessory
CB4856	g7277	accessory
CB4856	g7278	accessory
CB4856	g7278	accessory
CB4856	g7279	accessory
CB4856	g7279	accessory
CB4856	g7280	accessory
CB4856	g7280	accessory
CB4856	g7281	accessory
CB4856	g7281	accessory
CB4856	g7282	accessory
CB4856	g7282	accessory
CB4856	g7283	accessory
CB4856	g7283	accessory
CB4856	g7284	accessory
CB4856	g7284	accessory
CB4856	g7285	accessory
CB4856	g7285	accessory
CB4856	g7286	accessory
CB4856	g7286	accessory
CB4856	g7287	accessory
CB4856	g7287	accessory
CB4856	g7288	accessory
CB4856	g7288	accessory
CB4856	g7289	accessory
CB4856	g7289	accessory
CB4856	g7290	accessory
CB4856	g7290	accessory
CB4856	g7291	accessory
CB4856	g7292	accessory
CB4856	g7293	accessory
CB4856	g7294	accessory
CB4856	g7295	accessory
CB4856	g7409	core
CB4856	g7410	core
CB4856	g7471	accessory
CB4856	g7472	core
CB4856	g7473	accessory
CB4856	g7474	core
CB4856	g7572	accessory
CB4856	g7573	accessory
CB4856	g7574	core
CB4856	g7575	core
CB4856	g7576	accessory
CB4856	g7577	accessory
CB4856	g7578	accessory
CB4856	g7579	core
CB4856	g7580	accessory
CB4856	g7581	accessory
CB4856	g7582	accessory
CB4856	g7583	accessory
CB4856	g7584	accessory
CB4856	g7585	accessory
CB4856	g7586	accessory
CB4856	g7587	accessory
CB4856	g7588	accessory
CB4856	g7589	accessory
CB4856	g7590	accessory
CB4856	g7591	accessory
CB4856	g7592	accessory
CB4856	g7593	accessory
CB4856	g7594	private
CB4856	g7595	accessory
CB4856	g7596	accessory
CB4856	g7597	private
CB4856	g7598	accessory
CB4856	g7599	accessory
CB4856	g7600	accessory
CB4856	g7601	accessory
CB4856	g7602	accessory
CB4856	g7603	accessory
CB4856	g7604	accessory
CB4856	g7605	accessory
CB4856	g7606	accessory
CB4856	g7607	accessory
CB4856	g7608	accessory
CB4856	g7609	accessory
CB4856	g7610	accessory
CB4856	g7611	accessory
CB4856	g7612	accessory
CB4856	g7613	accessory
CB4856	g7614	private
CB4856	g7615	accessory
CB4856	g7616	accessory
CB4856	g7617	accessory
CB4856	g7618	accessory
CB4856	g7619	accessory
CB4856	g7620	accessory
CB4856	g7621	accessory
CB4856	g7622	accessory
CB4856	g7623	accessory
CB4856	g7624	accessory
CB4856	g7625	accessory
CB4856	g7626	accessory
CB4856	g7627	accessory
CB4856	g7628	accessory
CB4856	g7629	accessory
CB4856	g7630	accessory
CB4856	g7712	accessory
CB4856	g7713	accessory
CB4856	g7714	accessory
CB4856	g7715	accessory
CB4856	g7716	accessory
CB4856	g7717	accessory
CB4856	g7718	accessory
CB4856	g7719	accessory
CB4856	g7720	accessory
CB4856	g7721	accessory
CB4856	g7722	accessory
CB4856	g7723	accessory
CB4856	g7724	accessory
CB4856	g7725	accessory
CB4856	g7726	accessory
CB4856	g7727	accessory
CB4856	g7728	accessory
CB4856	g7729	accessory
CB4856	g7730	accessory
CB4856	g7731	accessory
CB4856	g7732	accessory
CB4856	g7733	accessory
CB4856	g7734	accessory
CB4856	g7735	accessory
CB4856	g7736	accessory
CB4856	g7737	accessory
CB4856	g7738	accessory
CB4856	g7739	accessory
CB4856	g7740	private
CB4856	g7741	accessory
CB4856	g7742	accessory
CB4856	g7743	accessory
CB4856	g7744	accessory
CB4856	g7745	accessory
CB4856	g7746	core
CB4856	g7747	core
CB4856	g7748	accessory
CB4856	g7759	accessory
CB4856	g7760	accessory
CB4856	g7761	accessory
CB4856	g7762	accessory
CB4856	g7763	accessory
CB4856	g7764	accessory
CB4856	g7765	accessory
CB4856	g7766	accessory
CB4856	g7767	accessory
CB4856	g7768	accessory
CB4856	g7769	accessory
CB4856	g7770	accessory
CB4856	g7771	accessory
CB4856	g7772	accessory
CB4856	g7773	accessory
CB4856	g7774	accessory
CB4856	g7775	accessory
CB4856	g7776	accessory
CB4856	g7777	accessory
CB4856	g7778	accessory
CB4856	g7779	private
CB4856	g7780	accessory
CB4856	g7781	accessory
CB4856	g7782	accessory
CB4856	g7783	accessory
CB4856	g7784	accessory
CB4856	g7785	accessory
CB4856	g7786	accessory
CB4856	g7787	accessory
CB4856	g7788	accessory
CB4856	g7789	accessory
CB4856	g7790	accessory
CB4856	g7791	accessory
CB4856	g7794	accessory
CB4856	g7795	accessory
CB4856	g7796	accessory
CB4856	g7797	accessory
CB4856	g7798	accessory
CB4856	g7799	accessory
CB4856	g7800	accessory
CB4856	g7801	accessory
CB4856	g7802	accessory
CB4856	g7803	accessory
CB4856	g7804	accessory
CB4856	g7805	accessory
CB4856	g7806	core
CB4856	g7807	core
CB4856	g7808	core
CB4856	g7848	accessory
CB4856	g7849	accessory
CB4856	g7850	accessory
CB4856	g7851	accessory
CB4856	g7852	accessory
CB4856	g7853	accessory
CB4856	g7854	accessory
CB4856	g7855	accessory
CB4856	g7856	accessory
CB4856	g7857	accessory
CB4856	g7858	accessory
CB4856	g7859	accessory
CB4856	g7860	accessory
CB4856	g7861	accessory
CB4856	g7862	accessory
CB4856	g7863	accessory
CB4856	g7864	accessory
CB4856	g7865	accessory
CB4856	g7866	accessory
CB4856	g7867	accessory
CB4856	g7868	accessory
CB4856	g7869	accessory
CB4856	g7870	accessory
CB4856	g7871	accessory
CB4856	g7872	accessory
CB4856	g7873	accessory
CB4856	g7874	accessory
CB4856	g7875	accessory
CB4856	g7876	accessory
CB4856	g7877	accessory
CB4856	g7878	accessory
CB4856	g7879	accessory
CB4856	g7880	accessory
CB4856	g7881	accessory
CB4856	g7882	accessory
CB4856	g7883	accessory
CB4856	g7884	accessory
CB4856	g7885	accessory
CB4856	g7886	accessory
CB4856	g7887	accessory
CB4856	g7888	accessory
CB4856	g7889	accessory
CB4856	g7890	accessory
CB4856	g7891	accessory
CB4856	g7892	accessory
CB4856	g7893	accessory
CB4856	g7894	accessory
CB4856	g7895	accessory
CB4856	g7896	accessory
CB4856	g7897	accessory
CB4856	g7898	accessory
CB4856	g7899	accessory
CB4856	g7900	accessory
CB4856	g7901	accessory
CB4856	g7902	accessory
CB4856	g7903	accessory
CB4856	g7904	accessory
CB4856	g7905	accessory
CB4856	g7906	accessory
CB4856	g7907	accessory
CB4856	g7908	accessory
CB4856	g7909	accessory
CB4856	g7910	accessory
CB4856	g7911	accessory
CB4856	g7912	accessory
CB4856	g7913	accessory
CB4856	g7914	accessory
CB4856	g7915	accessory
CB4856	g7916	accessory
CB4856	g7917	accessory
CB4856	g7918	accessory
CB4856	g7919	accessory
CB4856	g7920	accessory
CB4856	g7921	accessory
CB4856	g7922	accessory
CB4856	g7923	accessory
CB4856	g7924	accessory
CB4856	g7925	accessory
CB4856	g7926	accessory
CB4856	g7927	core
CB4856	g7928	accessory
CB4856	g7929	accessory
CB4856	g7930	accessory
CB4856	g7935	accessory
CB4856	g7936	accessory
CB4856	g7937	accessory
CB4856	g7949	accessory
CB4856	g7950	accessory
CB4856	g7951	accessory
CB4856	g7952	accessory
CB4856	g7953	accessory
CB4856	g7954	accessory
CB4856	g7955	accessory
CB4856	g7956	accessory
CB4856	g7957	accessory
CB4856	g7958	accessory
CB4856	g7959	accessory
CB4856	g7960	accessory
CB4856	g7961	accessory
CB4856	g7962	accessory
CB4856	g7963	core
CB4856	g7973	accessory
CB4856	g7974	core
CB4856	g7975	accessory
CB4856	g7976	accessory
CB4856	g7977	accessory
CB4856	g7978	accessory
CB4856	g7979	accessory
CB4856	g7980	accessory
CB4856	g7981	private
CB4856	g7982	accessory
CB4856	g7983	accessory
CB4856	g7984	accessory
CB4856	g7985	accessory
CB4856	g7986	accessory
CB4856	g7987	accessory
CB4856	g7988	accessory
CB4856	g7989	accessory
CB4856	g7990	accessory
CB4856	g7991	private
CB4856	g7992	private
CB4856	g7993	accessory
CB4856	g7994	accessory
CB4856	g7995	accessory
CB4856	g7996	accessory
CB4856	g7997	private
CB4856	g7998	private
CB4856	g7999	accessory
CB4856	g8000	accessory
CB4856	g8001	accessory
CB4856	g8002	accessory
CB4856	g8003	accessory
CB4856	g8004	accessory
CB4856	g8005	accessory
CB4856	g8006	accessory
CB4856	g8007	accessory
CB4856	g8008	accessory
CB4856	g8009	accessory
CB4856	g8010	accessory
CB4856	g8011	accessory
CB4856	g8012	accessory
CB4856	g8013	accessory
CB4856	g8023	accessory
CB4856	g8024	accessory
CB4856	g8025	accessory
CB4856	g8026	accessory
CB4856	g8032	accessory
CB4856	g8033	accessory
CB4856	g8034	accessory
CB4856	g8035	accessory
CB4856	g8036	accessory
CB4856	g8037	accessory
CB4856	g8038	accessory
CB4856	g8039	core
CB4856	g8040	accessory
CB4856	g8041	accessory
CB4856	g8042	accessory
CB4856	g8043	accessory
CB4856	g8044	accessory
CB4856	g8045	accessory
CB4856	g8046	accessory
CB4856	g8047	private
CB4856	g8048	accessory
CB4856	g8049	accessory
CB4856	g8050	accessory
CB4856	g8051	accessory
CB4856	g8052	accessory
CB4856	g8053	accessory
CB4856	g8215	core
CB4856	g8216	core
CB4856	g8217	accessory
CB4856	g8218	core
CB4856	g8295	accessory
CB4856	g8296	accessory
CB4856	g8297	accessory
CB4856	g8298	accessory
CB4856	g8299	accessory
CB4856	g8300	accessory
CB4856	g8301	accessory
CB4856	g8302	accessory
CB4856	g8303	accessory
CB4856	g8304	accessory
CB4856	g8305	accessory
CB4856	g8306	accessory
CB4856	g8307	accessory
CB4856	g8308	accessory
CB4856	g8309	accessory
CB4856	g8310	accessory
CB4856	g8311	accessory
CB4856	g8312	accessory
CB4856	g8313	accessory
CB4856	g8314	accessory
CB4856	g8315	core
CB4856	g8316	core
CB4856	g8317	accessory
CB4856	g8318	core
CB4856	g8319	core
CB4856	g8320	core
CB4856	g8321	core
CB4856	g8329	accessory
CB4856	g8331	accessory
CB4856	g8332	accessory
CB4856	g8333	accessory
CB4856	g8334	accessory
CB4856	g8335	accessory
CB4856	g8336	accessory
CB4856	g8344	accessory
CB4856	g8345	accessory
CB4856	g8346	accessory
CB4856	g8347	accessory
CB4856	g8348	accessory
CB4856	g8349	accessory
CB4856	g8350	accessory
CB4856	g8351	accessory
CB4856	g8352	accessory
CB4856	g8353	accessory
CB4856	g8354	accessory
CB4856	g8355	private
CB4856	g8356	accessory
CB4856	g8357	accessory
CB4856	g8358	accessory
CB4856	g8359	accessory
CB4856	g8360	accessory
CB4856	g8361	accessory
CB4856	g8362	core
CB4856	g8363	core
CB4856	g8364	accessory
CB4856	g8365	accessory
CB4856	g8366	core
CB4856	g8474	core
CB4856	g8475	core
CB4856	g8476	accessory
CB4856	g8477	accessory
CB4856	g8478	accessory
CB4856	g8479	accessory
CB4856	g8480	accessory
CB4856	g8481	accessory
CB4856	g8482	core
CB4856	g8483	accessory
CB4856	g8484	accessory
CB4856	g8485	accessory
CB4856	g8486	accessory
CB4856	g8487	core
CB4856	g8488	core
CB4856	g8489	core
CB4856	g8490	core
CB4856	g8491	accessory
CB4856	g8492	accessory
CB4856	g8493	core
CB4856	g8505	core
CB4856	g8506	accessory
CB4856	g8507	accessory
CB4856	g8508	core
CB4856	g8509	accessory
CB4856	g8510	accessory
CB4856	g8511	core
CB4856	g8512	core
CB4856	g8513	accessory
CB4856	g8514	core
CB4856	g8515	accessory
CB4856	g8516	accessory
CB4856	g8519	accessory
CB4856	g8520	accessory
CB4856	g8521	accessory
CB4856	g8522	accessory
CB4856	g8523	accessory
CB4856	g8524	core
CB4856	g8551	accessory
CB4856	g8552	accessory
CB4856	g8553	accessory
CB4856	g8554	accessory
CB4856	g8555	accessory
CB4856	g8556	accessory
CB4856	g8557	accessory
CB4856	g8558	accessory
CB4856	g8559	accessory
CB4856	g8560	accessory
CB4856	g8561	accessory
CB4856	g8562	accessory
CB4856	g8563	accessory
CB4856	g8588	accessory
CB4856	g9314	core
CB4856	g9315	accessory
CB4856	g9316	core
CB4856	g9317	core
CB4856	g9360	core
CB4856	g9361	core
CB4856	g9362	accessory
CB4856	g9363	core
CB4856	g9364	core
CB4856	g9365	core
CB4856	g9366	accessory
CB4856	g9390	accessory
CB4856	g9391	core
CB4856	g9392	core
CB4856	g9393	accessory
CB4856	g9394	core
CB4856	g9473	core
CB4856	g9474	accessory
CB4856	g9475	core
CB4856	g9476	core
CB4856	g9477	private
CB4856	g9478	accessory
CB4856	g9479	accessory
CB4856	g9480	accessory
CB4856	g9481	accessory
CB4856	g9482	core
CB4856	g9483	core
CB4856	g9532	accessory
CB4856	g9533	core
CB4856	g9534	core
CB4856	g10101	accessory
CB4856	g10102	accessory
CB4856	g10103	core
CB4856	g10282	core
CB4856	g10283	core
CB4856	g10284	core
CB4856	g10285	accessory
CB4856	g10286	core
CB4856	g10287	accessory
CB4856	g10288	accessory
CB4856	g10289	accessory
CB4856	g10290	core
CB4856	g10305	core
CB4856	g10306	core
CB4856	g10307	core
CB4856	g10308	core
CB4856	g10309	accessory
CB4856	g10310	core
CB4856	g10336	accessory
CB4856	g10337	core
CB4856	g10338	core
CB4856	g10559	core
CB4856	g10560	accessory
CB4856	g10561	accessory
CB4856	g10562	accessory
CB4856	g10563	accessory
CB4856	g10564	accessory
CB4856	g10565	accessory
CB4856	g10566	accessory
CB4856	g10582	accessory
CB4856	g10583	core
CB4856	g10584	core
CB4856	g10588	accessory
CB4856	g10589	accessory
CB4856	g10590	accessory
CB4856	g10591	accessory
CB4856	g10592	accessory
CB4856	g10593	accessory
CB4856	g11085	accessory
CB4856	g11086	core
CB4856	g11087	core
CB4856	g11088	core
CB4856	g11089	core
CB4856	g11090	core
CB4856	g11091	accessory
CB4856	g11092	core
CB4856	g11093	core
CB4856	g11094	core
CB4856	g11095	core
CB4856	g11096	core
CB4856	g11351	core
CB4856	g11352	core
CB4856	g11353	core
CB4856	g11354	core
CB4856	g12347	core
CB4856	g12348	core
CB4856	g12394	core
CB4856	g12395	core
CB4856	g12396	core
CB4856	g12397	accessory
CB4856	g15956	core
CB4856	g15957	core
CB4856	g15958	core
CB4856	g17354	core
CB4856	g17799	core
CB4856	g17800	core
CB4856	g17800	core
CB4856	g17801	accessory
CB4856	g17802	accessory
CB4856	g17803	accessory
CB4856	g19624	core
CB4856	g19717	accessory
CB4856	g19718	accessory
CB4856	g19719	accessory
CB4856	g19720	accessory
CB4856	g19721	accessory
CB4856	g19722	accessory
CB4856	g19734	core
CB4856	g19735	accessory
CB4856	g19736	accessory
CB4856	g19737	accessory
CB4856	g19738	accessory
CB4856	g19748	core
CB4856	g19749	accessory
CB4856	g19750	accessory
CB4856	g19751	accessory
CB4856	g19752	accessory
CB4856	g19753	accessory
CB4856	g19754	accessory
CB4856	g19755	accessory
CB4856	g19756	accessory
CB4856	g19757	core
CB4856	g19758	core
CB4856	g19759	accessory
CB4856	g19760	accessory
CB4856	g19761	core
CB4856	g19961	accessory
CB4856	g20172	core
CB4856	g20431	core
CB4856	g20500	accessory
CB4856	g20501	core
CB4856	g20640	core
CB4856	g20760	core
CB4856	g20802	accessory
CB4856	g20807	core
CB4856	g20808	core
CB4856	g20809	core
CB4856	g20810	accessory
CB4856	g20811	accessory
CB4856	g20812	accessory
CB4856	g20813	accessory
CB4856	g20814	accessory
CB4856	g20815	accessory
CB4856	g20816	accessory
CB4856	g20817	accessory
CB4856	g20818	accessory
CB4856	g20819	accessory
CB4856	g20820	accessory
CB4856	g20821	accessory
CB4856	g20822	accessory
CB4856	g20823	accessory
CB4856	g20824	accessory
CB4856	g20825	accessory
CB4856	g20826	accessory
CB4856	g20827	accessory
CB4856	g20828	accessory
CB4856	g20829	accessory
CB4856	g20830	accessory
CB4856	g20831	core
CB4856	g20832	core
CB4856	g20833	accessory
CB4856	g20843	accessory
CB4856	g20844	accessory
CB4856	g20845	accessory
CB4856	g20846	accessory
CB4856	g20847	accessory
CB4856	g20848	accessory
CB4856	g20849	accessory
CB4856	g20850	accessory
CB4856	g20851	accessory
CB4856	g20852	accessory
CB4856	g20853	accessory
CB4856	g20854	accessory
CB4856	g20855	accessory
CB4856	g20856	accessory
CB4856	g20857	accessory
CB4856	g20858	accessory
CB4856	g20859	accessory
CB4856	g20860	accessory
CB4856	g20861	core
CB4856	g20862	accessory
CB4856	g20912	core
CB4856	g20913	core
CB4856	g20914	accessory
CB4856	g20915	accessory
CB4856	g20916	accessory
CB4856	g20917	accessory
CB4856	g20918	accessory
CB4856	g20919	accessory
CB4856	g20920	accessory
CB4856	g20921	accessory
CB4856	g20922	accessory
CB4856	g20923	accessory
CB4856	g20924	accessory
CB4856	g20925	accessory
CB4856	g20926	accessory
CB4856	g20927	accessory
CB4856	g20928	accessory
CB4856	g20929	accessory
CB4856	g20930	accessory
CB4856	g20931	accessory
CB4856	g20932	accessory
CB4856	g20933	accessory
CB4856	g20934	private
CB4856	g20935	accessory
CB4856	g20936	accessory
CB4856	g20937	accessory
CB4856	g20938	accessory
CB4856	g20939	accessory
CB4856	g20940	accessory
CB4856	g20941	accessory
CB4856	g20942	accessory
CB4856	g20943	accessory
CB4856	g20944	accessory
CB4856	g20945	accessory
CB4856	g20946	accessory
CB4856	g20947	accessory
CB4856	g20948	accessory
CB4856	g20949	accessory
CB4856	g20950	accessory
CB4856	g20951	accessory
CB4856	g20952	accessory
CB4856	g20953	accessory
CB4856	g21006	core
CB4856	g21007	core
CB4856	g21078	core
CB4856	g21079	core
CB4856	g21080	accessory
CB4856	g21081	core
CB4856	g21082	accessory
CB4856	g21083	accessory
CB4856	g21084	accessory
CB4856	g21085	accessory
CB4856	g21086	core
CB4856	g21087	core
CB4856	g21088	core
CB4856	g21089	core
CB4856	g21090	accessory
CB4856	g21091	accessory
CB4856	g21092	accessory
CB4856	g21093	accessory
CB4856	g21094	accessory
CB4856	g21095	accessory
CB4856	g21096	accessory
CB4856	g21097	accessory
CB4856	g21098	core
CB4856	g21099	core
CB4856	g21100	accessory
CB4856	g21101	accessory
CB4856	g21102	accessory
CB4856	g21103	accessory
CB4856	g21104	accessory
CB4856	g21105	core
CB4856	g21106	accessory
CB4856	g21107	accessory
CB4856	g21108	accessory
CB4856	g21109	core
CB4856	g21110	core
CB4856	g21111	core
CB4856	g21112	core
CB4856	g21113	accessory
CB4856	g21114	private
CB4856	g21115	core
CB4856	g21116	accessory
CB4856	g21116	accessory
CB4856	g21117	core
CB4856	g21118	accessory
CB4856	g21119	accessory
CB4856	g21120	core
CB4856	g21121	core
CB4856	g21122	core
CB4856	g21123	accessory
CB4856	g21124	core
CB4856	g21125	accessory
CB4856	g21126	core
CB4856	g21127	core
CB4856	g21128	core
CB4856	g21129	core
CB4856	g21130	accessory
CB4856	g21577	core
CB4856	g21578	core
CB4856	g21579	accessory
CB4856	g21580	accessory
CB4856	g21581	accessory
CB4856	g21582	accessory
CB4856	g21583	accessory
CB4856	g21584	accessory
CB4856	g21585	accessory
CB4856	g21586	accessory
